country,life_expec,child_mort_log,total_fer,gdpp_log,health,inflation_log,exports_log,imports_log
Afghanistan,56.2,4.513054897080286,5.82,6.317164686747284,7.58,2.3456445824544927,2.3978952727983707,3.8264651170664994
Albania,76.3,2.8678989020441064,1.65,8.316544717929398,6.55,1.7029282555214393,3.367295829986474,3.903990833730882
Algeria,76.5,3.342861804649192,2.89,8.403128235128264,4.17,2.8390784635086144,3.673765816303888,3.4781584227982836
Angola,60.1,4.787491742782046,6.16,8.169336395928386,2.85,3.152736022363656,4.147885329150131,3.7819143200811256
Antigua and Barbuda,76.8,2.424802725718295,2.13,9.409273194575334,6.03,0.8919980393051105,3.8394523125933104,4.092676505121403
Argentina,75.8,2.740840023925201,2.37,9.239996256883693,8.1,3.086486636822455,2.990719731730447,2.833213344056216
Armenia,73.3,2.9496883350525844,1.69,8.0774471493312,4.4,2.1713368063840917,3.0819099697950434,3.835141961092188
Australia,82.0,1.7578579175523736,1.93,10.857093336791094,8.73,0.7701082216960736,3.0349529867072724,3.086486636822455
Austria,80.5,1.667706820558076,1.44,10.75579427616868,11.0,0.6275414234619514,3.9569963710708773,3.8877303128591016
Azerbaijan,69.1,3.6938669956249757,1.92,8.67265729404031,5.88,2.6946271807700692,4.012772908528289,3.077312260546414
Bahamas,73.8,2.6946271807700692,1.86,10.239995502805316,7.89,-0.3314596947976687,3.58351893845611,3.7999735016195233
Bahrain,76.0,2.2617630984737906,2.16,9.937937287265354,4.97,2.132982308607866,4.255612709818223,3.949318790171843
Bangladesh,70.4,3.919991175077323,2.33,6.63200177739563,3.52,2.096790180014449,2.833213344056216,3.126760535960395
Barbados,76.7,2.7212954278522306,1.78,9.680406499268875,7.97,0.2783890255401883,3.7013019741124933,3.906004933102583
Belarus,70.4,1.8718021769015913,1.49,8.704668113450987,5.61,2.7788192719904172,3.9589065913269965,4.182050142641207
Belgium,80.0,1.7047480922384253,1.86,10.70101727068921,10.7,1.0577902941478545,4.3489867805956814,4.3267781604434035
Belize,71.4,2.9856819377004897,2.71,8.375860015299594,5.2,0.76080582903376,4.0809215418899605,4.069026754237811
Benin,61.8,4.718498871295094,5.36,6.63200177739563,4.1,0.6339278208999741,3.2108436531709366,3.6428355156125294
Bhutan,72.1,3.7773481021015445,2.38,7.687538766201629,5.2,1.944480556245719,3.7727609380946383,4.272490747605575
Bolivia,71.6,3.8628327612373745,3.2,7.591357046698551,4.84,2.280339484046726,3.742420221041966,3.563882963939251
Bosnia and Herzegovina,76.8,2.066862759472976,1.31,8.436200032206706,11.1,0.8754687373538999,3.4242626545931514,3.9569963710708773
Botswana,57.1,3.979681653901961,2.88,8.756367559802975,8.3,2.2945529212967815,3.7977338590260183,3.9569963710708773
Brazil,74.2,3.0349529867072724,1.8,9.32375833901174,9.01,2.2417729535972883,2.4595888418037104,2.5494451709255714
Brunei,77.1,2.4423470353692043,1.84,10.471666571132038,2.84,2.8735646395797834,4.225372824628505,3.367295829986474
Bulgaria,73.9,2.468099531471619,1.57,8.830689198760998,6.87,0.7466879474879752,3.9357395320454622,3.9889840465642745
Burkina Faso,57.9,4.762173934797756,5.87,6.3561076606958915,6.74,2.0554049638515948,3.005682604407159,3.4210000089583352
Burundi,57.7,4.549657476057832,6.26,5.44673737166631,11.6,2.5877640352277083,2.2945529212967815,3.6938669956249757
Cambodia,66.1,3.8155121050473024,2.88,6.668228248417403,5.68,1.415853163361435,4.009149716158869,4.102643365036796
Cameroon,57.3,4.6913478822291435,5.11,7.1785454837637,5.13,1.0681530811834012,3.1441522786722644,3.332204510175204
Canada,81.3,1.8870696490323797,1.63,10.766398604507042,11.3,1.3532545070416904,3.40452517175483,3.4657359027997265
Cape Verde,72.5,3.3141860046725258,2.67,8.105005537547246,4.09,0.408792898200839,3.517497837358316,4.139955073474153
Central African Republic,47.5,5.0106352940962555,5.21,6.102558594613569,3.98,1.1019400787607843,2.5494451709255714,3.3141860046725258
Chad,56.5,5.017279836814924,6.59,6.8001700683022,4.53,2.0001277349601105,3.632309102625542,3.7954891891721947
Chile,79.1,2.272125885509337,1.88,9.465060106725137,7.96,2.298577071596507,3.655839600035736,3.475067230228611
China,74.6,2.8154087194227095,1.59,8.4252971767117,5.07,2.0719132752590443,3.3068867021909143,3.1612467120315646
Colombia,76.4,2.975529566236472,2.01,8.740496729931813,7.59,1.5810384379124023,2.8273136219290276,2.9338568698359038
Comoros,65.9,4.490881039585964,4.75,6.646390514847729,4.51,1.5830939370944985,2.8622008809294686,3.9646154555473165
"Congo, Dem. Rep.",57.5,4.762173934797756,6.54,5.814130531825066,7.91,3.0819099697950434,3.7400477406883357,3.92395157629342
"Congo, Rep.",60.4,4.1728476237100445,4.95,7.916078096302786,2.46,3.077312260546414,4.455509411433685,4.019980146933238
Costa Rica,80.4,2.4159137783010487,1.92,9.012011377036412,10.9,2.0241930674493576,3.5322256440685598,3.58351893845611
Cote d'Ivoire,56.3,4.718498871295094,5.27,7.107425474110705,5.3,1.8547342683894434,3.9435216724875173,3.7909846770510898
Croatia,76.3,1.8718021769015913,1.55,9.510519035757246,7.76,0.5993858007454709,3.653252276470785,3.66612246699132
Cyprus,79.9,1.5260563034950492,1.42,10.335302435967074,5.97,1.1019400787607843,3.9357395320454622,4.069026754237811
Czech Republic,77.5,1.4816045409242156,1.51,9.893487720457795,7.88,-0.8878912573524571,4.204692619390966,4.157319361383489
Denmark,79.5,1.62924053973028,1.87,10.968215530759236,11.4,1.4398351280479207,3.9415818076696905,3.7977338590260183
Dominican Republic,74.6,3.5667118201397288,2.6,8.603554357064281,6.22,1.8625285401162623,3.1654750481410856,3.535145354171894
Ecuador,76.7,3.261935314328648,2.66,8.446985296372741,8.06,2.136530508663963,3.3638415951183864,3.5085558999826545
Egypt,70.5,3.40452517175483,3.19,7.8636512654486515,4.66,2.4069451083182885,3.104586678466073,3.3178157727231046
El Salvador,74.1,3.005682604407159,2.27,8.003363058629947,6.91,1.2947271675944,3.32862668882732,3.8628327612373745
Equatorial Guinea,60.9,4.718498871295094,5.21,9.746892220313054,4.48,3.254242968705492,4.463606621666305,4.092676505121403
