country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,iso_code,child_mortality,health_expenditure_pct_gdp,hiv_prevalence,life_expectancy,maternal_mortality,physicians_per_1000,tb_incidence,vaccination_dpt,social_poverty_mpi,social_literacy,social_poverty_2_15,social_schooling,social_undernourishment
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,AFG,74.6,9.52887821,0.1,62.26,755.0,0.304,197.0,62.0,,33.75,,,19.3
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,ALB,9.9,6.35884142,0.1,78.029,10.0,1.212,16.0,99.0,0.7,97.25,3.7,93.78369,4.6
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,DZA,25.4,6.01484108,0.1,74.992,80.0,1.819,80.0,95.0,1.4,,0.0,97.54838,2.7
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,AGO,64.5,2.15680027,1.8,60.396,262.0,0.212,451.0,55.0,51.1,66.0299987792969,39.3,78.02393,13.2
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200,ATG,11.2,5.32218313,0.9,76.912,32.0,2.917,3.4,99.0,,,,91.88907,
Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,ARG,12.2,9.79773045,0.4,76.268,43.0,4.925,27.0,94.0,,,1.1,99.44461,2.9
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,ARM,15.4,10.17827892,0.2,74.8731707317073,26.0,2.883,73.0,93.0,0.2,99.7399978637695,3.4,93.76733,2.5
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,AUS,4.0,9.82833862,0.1,82.3,6.0,3.432,6.5,92.0,,,0.6,97.04009,2.5
Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,AUT,3.8,10.51159096,,81.490243902439,7.0,5.076,7.9,98.0,,,0.2,88.70387,2.5
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,AZE,29.6,3.58703041,0.1,71.93,23.0,3.401,107.0,78.0,,99.7900009155273,,94.6666,2.5
Bahamas,13.8,35.0,7.89,43.7,22900,-0.393,73.8,1.86,28000,BHS,14.2,5.64133978,1.6,74.029,78.0,1.895,18.0,96.0,,,,74.72864,
Bahrain,8.6,69.5,4.97,50.9,41100,7.44,76.0,2.16,20700,BHR,7.8,4.2369051,0.1,80.214,16.0,0.974,21.0,99.0,,,,94.30002,
Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,BGD,40.5,2.27915168,0.1,70.016,217.0,0.478,221.0,97.0,,61.0200004577637,19.5,90.53203,15.6
Barbados,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000,BRB,13.1,6.09732294,1.2,75.926,39.0,2.541,1.8,94.0,,,1.7,92.54496,2.5
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,BLR,4.3,5.38792181,,72.9707317073171,2.0,4.082,56.0,97.0,,99.620002746582,0.0,93.11386,2.5
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,BEL,4.1,10.62032604,0.2,81.2878048780488,5.0,3.16,9.2,99.0,,,0.1,97.64411,2.5
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,BLZ,16.3,4.87071466,1.4,71.437,44.0,1.131,31.0,95.0,4.3,90.9199981689453,1.0,96.35903,6.4
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,BEN,98.4,2.69111967,1.0,59.008,605.0,0.045,66.0,74.0,,45.0800018310547,65.8,96.36058,9.2
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,BTN,31.2,3.23226452,0.1,70.504,73.0,0.333,307.0,99.0,,55.3199996948242,3.6,88.17317,
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980,BOL,28.4,5.89613628,0.3,66.97,171.0,1.569,134.0,85.0,,94.4599990844727,5.6,86.31873,17.2
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,BIH,6.7,9.4710331,,77.089,7.0,2.083,51.0,86.0,,96.9899978637695,1.2,,2.5
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,BWA,49.0,5.8804059,22.1,62.167,212.0,0.371,470.0,95.0,17.2,,21.4,87.65678,20.1
