country,iso_code,gdpp_log,child_mort_log,life_expec,health,physicians_per_1000,total_fer,hiv_prevalence_log,social_schooling,social_undernourishment_log,security_apparatus,refugees_idps
Afghanistan,AFG,6.317164686747284,4.513054897080286,56.2,7.58,0.30400000000000027,5.82,0.09531017980432493,70.52689489248641,3.0106208860477417,10.0,9.1
Albania,ALB,8.316544717929398,2.8678989020441064,76.3,6.55,1.212,1.65,0.09531017980432493,93.78369,1.7227665977411035,4.7,3.1
Algeria,DZA,8.403128235128264,3.342861804649192,76.5,4.17,1.819,2.89,0.09531017980432493,97.54838,1.308332819650179,8.0,6.4
Angola,AGO,8.169336395928386,4.787491742782046,60.1,2.85,0.21199999999999997,6.16,1.0296194171811581,78.02393,2.653241964607215,6.0,7.6
Antigua and Barbuda,ATG,9.409273194575334,2.424802725718295,76.8,6.03,2.917,2.13,0.6418538861723948,91.88907,1.5634309271480977,5.2,3.0
Argentina,ARG,9.239996256883693,2.740840023925201,75.8,8.1,4.925,2.37,0.33647223662121295,99.44461,1.3609765531356006,3.6,2.0
Armenia,ARM,8.0774471493312,2.9496883350525844,73.3,4.4,2.883,1.69,0.18232155679395468,93.76733,1.252762968495368,5.3,7.0
Australia,AUS,10.857093336791094,1.7578579175523736,82.0,8.73,3.432,1.93,0.09531017980432493,97.04009,1.252762968495368,2.1000000000000005,2.1
Austria,AUT,10.75579427616868,1.667706820558076,80.5,11.0,5.076,1.44,0.1828262286849403,88.70387,1.252762968495368,1.0999999999999996,2.0
Azerbaijan,AZE,8.67265729404031,3.6938669956249757,69.1,5.88,3.401,1.92,0.09531017980432493,94.6666,1.252762968495368,6.7,7.6
Bahamas,BHS,10.239995502805316,2.6946271807700692,73.8,7.89,1.895,1.86,0.9555114450274363,74.72864,1.5540726855711915,4.0,2.8
Bahrain,BHR,9.937937287265354,2.2617630984737906,76.0,4.97,0.974,2.16,0.09531017980432493,94.30002,1.5340582677621164,6.7,2.6
Bangladesh,BGD,6.63200177739563,3.919991175077323,70.4,3.52,0.478,2.33,0.09531017980432493,90.53203,2.8094026953624978,7.7,6.6
Barbados,BRB,9.680406499268875,2.7212954278522306,76.7,7.97,2.541,1.78,0.7884573603642702,92.54496,1.252762968495368,4.3,2.7
Belarus,BLR,8.704668113450987,1.8718021769015913,70.4,5.61,4.082,1.49,0.1851389543333708,93.11386,1.252762968495368,6.6,4.1
Belgium,BEL,10.70101727068921,1.704748092238425,80.0,10.7,3.16,1.86,0.18232155679395468,97.64411,1.252762968495368,2.0,1.6
Belize,BLZ,8.375860015299594,2.9856819377004897,71.4,5.2,1.131,2.71,0.8754687373538999,96.35903,2.0014800002101243,5.8,4.1
Benin,BEN,6.63200177739563,4.718498871295094,61.8,4.1,0.04499999999999993,5.36,0.6931471805599453,96.36058,2.322387720290225,6.2,6.0
Bhutan,BTN,7.687538766201629,3.7773481021015445,72.1,5.2,0.33299999999999996,2.38,0.09531017980432493,88.17317,2.087631178579696,5.0,6.9
Bolivia,BOL,7.591357046698551,3.8628327612373745,71.6,4.84,1.569,3.2,0.262364264467491,86.31873,2.9014215940827497,6.6,3.8
Bosnia and Herzegovina,BIH,8.436200032206706,2.066862759472976,76.8,11.1,2.083,1.31,0.18647892791902504,92.83565970871412,1.252762968495368,6.2,7.3
Botswana,BWA,8.756367559802975,3.979681653901961,57.1,8.3,0.371,2.88,3.139832617527748,87.65678,3.0492730404820207,3.5,5.2
Brazil,BRA,9.32375833901174,3.0349529867072724,74.2,9.01,2.198,1.8,0.4054651081081644,94.84088,1.252762968495368,5.9,3.1
Brunei Darussalam,BRN,10.471666571132038,2.4423470353692043,77.1,2.84,1.485,1.84,0.170465938668393,92.53427,1.4535057928032769,5.6,2.7
Bulgaria,BGR,8.830689198760998,2.468099531471619,73.9,6.87,3.978,1.57,0.09531017980432493,92.61403,1.6486586255873816,4.1,3.5
Burkina Faso,BFA,6.3561076606958915,4.762173934797756,57.9,6.74,0.04699999999999993,5.87,0.5877866649021191,67.7983,2.667228206581955,7.4,7.1
Burundi,BDI,5.446737371666309,4.549657476057832,57.7,11.6,0.05600000000000005,6.26,0.8754687373538999,95.37413,3.156696678422695,7.7,9.0
Cambodia,KHM,6.668228248417403,3.8155121050473024,66.1,5.68,0.16700000000000004,2.88,0.5877866649021191,95.04806,2.2082744135228043,6.7,5.8
Cameroon,CMR,7.1785454837637,4.6913478822291435,57.3,5.13,0.17920401689414867,5.11,1.62924053973028,91.7001,1.7047480922384253,7.6,7.800000000000001
Canada,CAN,10.766398604507042,1.8870696490323797,81.3,11.3,2.4961,1.63,0.18232155679395468,99.39113,1.252762968495368,2.2,2.0
Cabo Verde,CPV,8.105005537547246,3.3141860046725258,72.5,4.09,0.4610000000000001,2.67,0.5877866649021191,93.20062,2.8507065015037334,5.7,4.1
Central African Republic,CAF,6.102558594613569,5.0106352940962555,47.5,3.98,0.07000000000000006,5.21,1.6094379124341003,63.8246,3.462606009790799,9.8,10.0
Chad,TCD,6.8001700683022,5.017279836814924,56.5,4.53,0.04300000000000015,6.59,0.9162907318741551,79.09656,3.265759410767051,8.8,10.0
Chile,CHL,9.465060106725137,2.272125885509337,79.1,7.96,2.016,1.88,0.33647223662121295,93.42186,1.4586150226995167,3.1000000000000005,2.1
China,CHN,8.4252971767117,2.8154087194227095,74.6,5.07,1.711,1.59,0.23822989449321014,93.53608329404322,1.252762968495368,5.9,5.6
Colombia,COL,8.740496729931813,2.975529566236472,76.4,7.59,1.96,2.01,0.4054651081081644,90.46317,1.916922612182061,7.3,7.800000000000001
Comoros,COM,6.646390514847729,4.490881039585964,65.9,4.51,0.2909999999999999,4.75,0.09531017980432493,80.85214,2.740840023925201,7.2,4.5
"Congo, The Democratic Republic of the",COD,5.814130531825066,4.762173934797756,57.5,7.91,0.13195409653514045,6.540000000000001,0.7419373447293773,73.19774105871943,3.459466289786131,9.5,9.4
Congo,COG,7.916078096302786,4.1728476237100445,60.4,2.46,0.10200000000000031,4.95,1.4586150226995167,87.88284,3.517497837358316,6.7,8.3
Costa Rica,CRI,9.012011377036412,2.4159137783010487,80.4,10.9,2.659,1.92,0.33647223662121295,96.98747,1.308332819650179,3.1000000000000005,3.9
Côte d'Ivoire,CIV,7.107425474110705,4.718498871295094,56.3,5.3,0.2140000000000002,5.27,1.3609765531356006,72.34108,2.747270914255491,8.3,9.0
Croatia,HRV,9.510519035757246,1.8718021769015913,76.3,7.76,3.153,1.55,0.09531017980432493,88.74208,1.252762968495368,4.0,4.9
Cyprus,CYP,10.335302435967074,1.5260563034950492,79.9,5.97,2.396,1.4200000000000002,0.2689497260227906,96.91133,1.252762968495368,4.4,4.5
Czech Republic,CZE,9.893487720457795,1.4816045409242156,77.5,7.88,3.9345,1.51,0.20312446843126009,88.11683,1.252762968495368,2.6000000000000005,2.0
Denmark,DNK,10.968215530759236,1.62924053973028,79.5,11.4,3.877,1.87,0.09531017980432493,98.03298,1.252762968495368,1.5,1.4
Dominican Republic,DOM,8.603554357064281,3.5667118201397288,74.6,6.22,1.1271312260717927,2.6,0.7419373447293773,89.28355,2.2407096892759584,5.2,3.8
Ecuador,ECU,8.446985296372741,3.261935314328648,76.7,8.06,1.684,2.66,0.33647223662121295,91.35484,2.2512917986064953,6.7,5.2
Egypt,EGY,7.8636512654486515,3.40452517175483,70.5,4.66,0.73,3.19,0.09531017980432493,98.0269,1.9600947840472698,8.2,6.7
El Salvador,SLV,8.003363058629947,3.005682604407159,74.1,6.91,1.5662,2.27,0.4054651081081644,88.23495,2.341805806147327,6.5,5.1
Equatorial Guinea,GNQ,9.746892220313054,4.718498871295094,60.9,4.48,0.32499999999999973,5.21,0.7927743209704516,43.48324,2.5414724893077736,7.0,3.3
Eritrea,ERI,6.180016653652572,4.028916756899646,61.7,2.66,0.06600000000000006,4.61,0.5877866649021191,63.25635,2.7571692756963784,7.7,7.800000000000001
Estonia,EST,9.588845298501564,1.704748092238425,76.0,6.03,3.361,1.72,0.5877866649021191,94.15752,1.252762968495368,3.1000000000000005,2.9
Fiji,FJI,8.202756381655638,3.2228678461377385,65.3,4.86,0.813,2.67,0.09531017980432493,98.72797,2.0794415416798357,6.7,3.4
Finland,FIN,10.740756721857226,1.3862943611198906,80.0,8.95,3.448,1.87,0.15769622800720895,99.36498,1.252762968495368,1.4000000000000004,1.5
France,FRA,10.611547975828369,1.6486586255873816,81.4,11.9,3.169,2.03,0.262364264467491,97.56809,1.252762968495368,2.3,2.2
Gabon,GAB,9.076923258535832,4.169761201506855,62.9,3.5,0.3400000000000001,4.08,1.6094379124341003,83.10221260310537,2.6602595372658615,5.0,5.0
Gambia,GMB,6.333279628139691,4.398146016553765,65.5,5.69,0.09600000000000009,5.71,1.0647107369924282,65.84188,2.4932054526026954,6.0,6.4
Georgia,GEO,7.993282328101591,2.8622008809294686,72.8,10.1,5.081,1.92,0.18232155679395468,99.10612,2.028148247292285,7.3,7.4
Germany,DEU,10.640675541671662,1.6486586255873816,80.1,11.6,4.088,1.39,0.09531017980432493,87.89669,1.252762968495368,2.1000000000000005,3.0
Ghana,GHA,7.1785454837637,4.3267781604434035,62.2,5.22,0.10799999999999987,4.27,1.0296194171811581,86.99201,2.272125885509337,4.1,5.5
Greece,GRC,10.199918739620157,1.589235205116581,80.4,10.3,5.867000000000001,1.48,0.18232155679395468,96.53303,1.252762968495368,4.5,1.6
Grenada,GRD,8.905308661189288,2.747270914255491,71.3,5.86,1.352,2.24,0.6260300931067572,90.47747797638117,1.88848872739627,5.6,3.2
Guatemala,GTM,7.9483852851118995,3.594568774642695,71.3,6.85,0.28600000000000003,3.38,0.262364264467491,85.56198,2.8273136219290276,7.0,5.5
Guinea,GIN,6.47543271670409,4.700480365792417,58.0,4.93,0.16100000000000003,5.34,0.9932517730102833,76.90338,2.681021528714291,8.9,8.7
Guinea-Bissau,GNB,6.306275286948016,4.74493212836325,55.6,8.5,0.19799999999999995,5.05,1.4816045409242156,71.25324,3.4372078191851885,8.8,7.800000000000001
Guyana,GUY,8.019941687677365,3.653252276470785,65.5,5.38,0.7903748660273546,2.65,0.8754687373538999,93.15013,1.9021075263969205,5.8,3.6
Haiti,HTI,6.4967749901858625,5.342334251964811,32.1,6.91,0.08699999999999997,3.33,0.9932517730102833,74.94806214742597,3.6584202466292277,7.5,8.2
Hungary,HUN,9.48044384215367,1.9459101490553132,74.5,7.33,3.325,1.25,0.31527542036056755,91.07825,1.252762968495368,2.4,2.5
Iceland,ISL,10.643064971973882,1.2809338454620642,82.0,9.4,3.643,2.2,0.09531017980432493,98.12777,1.252762968495368,1.0,1.4
India,IND,7.208600337960199,4.091005660956586,66.2,4.05,0.7149999999999999,2.6,0.3765873916027027,92.25734,2.6100697927420065,7.9,5.4
Indonesia,IDN,8.042699496897637,3.535145354171894,69.9,2.6099999999999994,0.27,2.48,0.33647223662121295,90.00059,2.174751721484161,6.2,5.9
Iran,IRN,8.784315349902657,3.0106208860477417,74.5,5.6,1.43,1.76,0.20301067813512547,98.63946,2.1972245773362196,8.0,6.5
Iraq,IRQ,8.412054873292933,3.634951112088381,67.2,8.41,0.823,4.56,0.09531017980432493,82.6302312745456,2.791165107812717,10.0,8.9
Ireland,IRL,10.793454842740767,1.6486586255873816,80.4,9.19,3.012,2.05,0.18232155679395468,95.35688,1.252762968495368,1.7999999999999998,1.4
Israel,ISR,10.328787967145063,1.7227665977411035,81.4,7.63,3.442,3.03,0.1376620676022685,96.71318,1.252762968495368,7.0,7.4
Italy,ITA,10.485731104959568,1.6094379124341003,81.7,9.53,3.888,1.46,0.262364264467491,97.13266,1.252762968495368,4.4,3.7
Jamaica,JAM,8.45126704130007,2.9496883350525844,74.7,4.81,0.391,2.17,0.8754687373538999,84.96535,2.1400661634962708,6.3,3.0
Japan,JPN,10.703266939811954,1.4350845252893227,82.8,9.49,2.354,1.39,0.21155226773334534,97.43799907316543,1.252762968495368,1.4000000000000004,3.1
Jordan,JOR,8.210939733379021,3.095577608523707,75.8,8.04,2.236,3.66,0.09531017980432493,74.83179,2.151762203259462,5.5,8.8
Kazakhstan,KAZ,9.112837790614945,3.1135153092103742,68.4,4.29,3.865,2.6,0.18232155679395468,86.52115,1.252762968495368,5.7,3.5
Kenya,KEN,6.875232087276577,4.146304301152812,62.8,4.75,0.19899999999999984,4.37,1.7749523509116738,86.49272899943179,2.995732273553991,8.4,8.3
Kiribati,KIR,7.307202314764738,4.154184562578117,60.7,11.3,1.2469525865164472,3.84,1.3364117179782982,97.4324,1.3862943611198906,6.5270932419569965,5.965823754637093
Kuwait,KWT,10.55843949396453,2.468099531471619,78.2,2.63,2.67,2.21,0.09531017980432493,92.17298,1.252762968495368,3.9,4.0
Kyrgyz Republic,KGZ,6.78105762593618,3.4210000089583352,68.5,6.18,1.837,3.1,0.18232155679395468,89.78817,1.9315214116032138,6.8,5.8
Lao,LAO,7.039660349862076,4.380775852772229,63.8,4.47,0.377,3.15,0.262364264467491,96.5434,2.442033405614,6.0,5.6
Latvia,LVA,9.332646496360152,2.174751721484161,73.1,6.68,3.216,1.36,0.4700036292457356,95.80158,1.252762968495368,3.5,2.9
Lebanon,LBN,9.089414904047302,2.424802725718295,79.8,7.03,2.045,1.61,0.09531017980432493,91.60933385740015,1.840549633397487,8.8,9.1
Lesotho,LSO,7.065613363597717,4.612145799724517,46.5,11.1,0.24579042766028514,3.3,3.246490991901174,87.35942,2.902056497908712,5.6,4.9
Liberia,LBR,5.793013608384144,4.5031374604229395,60.8,11.8,0.03600000000000003,5.02,0.8754687373538999,38.38889,3.6270040503958487,6.9,9.2
Libya,LBY,9.401043372798053,2.8678989020441064,76.1,3.88,2.037,2.41,0.09531017980432493,94.3501693726383,2.4159137783010487,9.3,7.4
Lithuania,LTU,9.392745258631441,1.9600947840472698,73.2,7.04,4.306,1.5,0.18232155679395468,98.15362,1.252762968495368,3.0,2.6
Luxembourg,LUX,11.561725152903833,1.33500106673234,81.3,7.77,2.882,1.63,0.18232155679395468,93.34251,1.252762968495368,2.0,1.7000000000000002
North Macedonia,MKD,8.420902531097951,2.4336133554004498,74.0,7.09,3.021,1.47,0.09531017980432493,89.23011,1.5260563034950492,5.4,5.3
Madagascar,MDG,6.025865973825314,4.146304301152812,60.8,3.77,0.17300000000000026,4.6,0.262364264467491,81.60440648005263,3.4995332823830174,7.1,3.9
Malawi,MWI,6.131226489483141,4.516338972281476,53.1,6.59,0.030999999999999917,5.31,2.388762789235098,83.98398311815912,2.803360380906535,4.8,6.1
Malaysia,MYS,9.112837790614945,2.186051276738094,74.5,4.39,1.484,2.15,0.33647223662121295,99.8924,1.5686159179138452,6.8,4.2
Maldives,MDV,8.867990898182093,2.653241964607215,77.9,6.33,1.862,2.23,0.09531017980432493,96.13286,1.6717609284413637,6.1,4.7
Mali,MLI,6.5638555265321274,4.927253685157205,59.5,4.98,0.09699999999999998,6.55,0.7884573603642702,59.28886,1.791759469228055,8.7,7.800000000000001
Malta,MLT,9.957075711706057,2.0541237336955462,80.3,8.65,3.604,1.36,0.18232155679395468,98.90359,1.252762968495368,3.4,4.6
Mauritania,MRT,7.0909098220799835,4.589040804058207,68.2,4.41,0.16199999999999992,4.98,0.262364264467491,76.29421,1.9878743481543455,7.4,8.5
Mauritius,MUS,8.987321812850125,2.772588722239781,73.4,6.0,1.88,1.57,0.5199277606095671,96.16563,2.0541237336955462,2.8,2.2
"Micronesia, Federated States of",FSM,7.95892649305011,3.713572066704308,65.4,14.2,1.397143389382932,3.46,1.615132493592599,86.23183,2.2911806095565126,5.1,3.2
Moldova,MDA,7.396948602621014,2.9014215940827497,69.7,11.7,3.091,1.2700000000000002,0.6418538861723948,87.14635,1.5686159179138452,6.6,4.4
Mongolia,MNG,7.8826922062890254,3.299533727885655,66.2,5.44,3.193,2.64,0.09531017980432493,94.62431,2.451005098112319,4.0,2.4
Montenegro,MNE,8.807022955925477,2.0541237336955462,76.4,9.11,2.17,1.77,0.09531017980432493,93.97655,1.252762968495368,4.0,4.5
Morocco,MAR,7.9483852851118995,3.5409593240373143,73.5,5.2,0.913,2.58,0.09531017980432493,93.26164,1.589235205116581,5.7,5.3
Mozambique,MOZ,6.040254711277414,4.624972813284271,54.5,5.21,0.07699999999999996,5.56,2.617395832834079,89.91204,3.5145260669691587,7.0,5.0
Myanmar,MMR,6.8966943316227125,4.180522258463153,66.8,1.9699999999999998,0.6379999999999999,2.41,0.6418538861723948,96.1312,1.8718021769015913,8.3,8.3
Namibia,NAM,8.55468163582723,4.04305126783455,58.6,6.78,0.567,3.6,2.6100697927420065,97.22695,3.1570004211501135,4.9,5.5
Nepal,NPL,6.385194398997726,3.871201010907891,68.3,5.25,0.681,2.61,0.18232155679395468,98.79036,2.2192034840549946,7.0,7.6
Netherlands,NLD,10.825780236605917,1.704748092238425,80.7,11.9,3.392,1.79,0.18232155679395468,96.42447,1.252762968495368,1.7999999999999998,2.1
New Zealand,NZL,10.425282789490705,1.9740810260220096,80.9,10.1,2.889,2.17,0.09531017980432493,97.41885,1.252762968495368,1.0999999999999996,1.1
Niger,NER,5.855071922202427,4.820281565605037,58.8,5.16,0.026999999999999913,7.49,0.262364264467491,60.133309999999994,2.6878474937846906,8.7,7.9
Nigeria,NGA,7.754052639035757,4.875197323201151,60.5,5.07,0.42799999999999994,5.84,1.0296194171811581,64.13783,2.4932054526026954,9.9,7.5
Norway,NOR,11.382828169079987,1.4350845252893227,81.0,9.48,4.429,1.95,0.09531017980432493,99.82749,1.252762968495368,2.5,1.9
Oman,OMN,9.867912187022208,2.5416019934645457,76.1,2.7699999999999996,2.162,2.9,0.09531017980432493,93.88526,2.0541237336955462,4.7,2.0
Pakistan,PAK,6.947937068614969,4.533674184283021,65.3,2.2,0.818,3.85,0.09531017980432493,65.75982,2.7212954278522306,9.6,8.9
Panama,PAN,8.997270906233448,3.0301337002713233,77.8,8.1,1.588,2.62,0.6931471805599453,90.58017,2.0918640616783932,5.1,3.5
Paraguay,PRY,8.080546965824498,3.2228678461377385,74.1,5.87,1.2892656044790085,2.73,0.33647223662121295,87.7094,1.252762968495368,6.5,2.2
Peru,PER,8.521384396034705,3.0587070727153796,77.9,5.08,1.307,2.54,0.33647223662121295,92.54948,1.840549633397487,7.1,4.8
Philippines,PHL,7.664346632098617,3.493472657771326,69.0,3.61,0.589,3.16,0.09531017980432493,95.36339,2.631888840136646,9.1,7.4
Poland,POL,9.441531454869693,1.9459101490553132,76.3,7.46,2.292,1.4099999999999997,0.2154224633443263,96.0052,1.252762968495368,2.3,2.8
Portugal,PRT,10.021315031649332,1.589235205116581,79.8,11.0,4.562,1.39,0.4700036292457356,98.39988,1.252762968495368,1.5999999999999996,1.6
Qatar,QAT,11.160541302448653,2.302585092994046,79.5,1.8100000000000005,1.927,2.07,0.09531017980432493,89.28562,1.4003399147657025,2.5,1.7999999999999998
Romania,ROU,9.015662792972645,2.5257286443082556,73.7,5.58,2.69,1.59,0.09531017980432493,86.27801,1.252762968495368,3.5,2.7
