country,iso_code,health,life_expec,total_fer,health_expenditure_pct_gdp,life_expectancy,physicians_per_1000,vaccination_dpt,social_schooling,security_apparatus,group_grievance,refugees_idps,external_intervention,inflation_log,hiv_prevalence_log,exports_log,tb_incidence_log,income_log,maternal_mortality_log,gdpp_log,imports_log,social_undernourishment_log,child_mortality_log,social_poverty_2_15_log,child_mort_log
Afghanistan,AFG,7.58,56.2,5.82,9.52887821,62.26,0.30400000000000027,62.0,70.52689489248641,10.0,8.9,9.1,9.8,2.3456445824544927,0.09531017980432493,2.3978952727983707,5.288267030694535,7.384610383176974,6.628041376179533,6.317164686747284,3.8264651170664994,3.0106208860477417,4.3254562831854875,3.8496211082303806,4.513054897080286
Albania,ALB,6.55,76.3,1.65,6.35884142,78.029,1.212,99.0,93.78369,4.7,5.0,3.1,6.1,1.7029282555214393,0.09531017980432493,3.367295829986474,2.833213344056216,9.203416456903359,2.3978952727983707,8.316544717929398,3.903990833730882,1.7227665977411035,2.388762789235098,1.547562508716013,2.8678989020441064
Algeria,DZA,4.17,76.5,2.89,6.01484108,74.992,1.819,95.0,97.54838,8.0,8.2,6.4,5.4,2.8390784635086144,0.09531017980432493,3.673765816303888,4.394449154672439,9.465060106725137,4.394449154672439,8.403128235128264,3.4781584227982836,1.308332819650179,3.2733640101522705,0.0,3.342861804649192
Angola,AGO,2.85,60.1,6.16,2.1568002699999997,60.396,0.21199999999999997,55.0,78.02393,6.0,7.3,7.6,5.6,3.152736022363656,1.0296194171811581,4.147885329150131,6.113682179832232,8.682877107057168,5.572154032177765,8.169336395928386,3.7819143200811256,2.653241964607215,4.182050142641207,3.6737409781906463,4.787491742782046
Antigua and Barbuda,ATG,6.03,76.8,2.13,5.32218313,76.912,2.917,99.0,91.88907,5.2,3.9,3.0,5.8,0.8919980393051105,0.6418538861723948,3.8394523125933104,1.4816045409242156,9.857495968685136,3.4965075614664802,9.409273194575334,4.092676505121403,1.5634309271480977,2.501435951739211,0.9289753043211519,2.424802725718295
Argentina,ARG,8.1,75.8,2.37,9.79773045,76.268,4.925,94.0,99.44461,3.6,5.0,2.0,4.0,3.086486636822455,0.33647223662121295,2.990719731730447,3.332204510175204,9.83633227734872,3.784189633918261,9.239996256883693,2.833213344056216,1.3609765531356006,2.580216829592325,0.7419373447293773,2.740840023925201
Armenia,ARM,4.4,73.3,1.69,10.17827892,74.8731707317073,2.883,93.0,93.76733,5.3,5.4,7.0,6.8,2.1713368063840917,0.18232155679395468,3.0819099697950434,4.30406509320417,8.81001204797317,3.295836866004329,8.0774471493312,3.835141961092188,1.252762968495368,2.797281334830153,1.4816045409242156,2.9496883350525844
Australia,AUS,8.73,82.0,1.93,9.82833862,82.3,3.432,92.0,97.04009,2.1000000000000005,4.4,2.1,1.0,0.7701082216960736,0.09531017980432493,3.0349529867072724,2.0149030205422647,10.63106031411106,1.945910149055313,10.857093336791094,3.086486636822455,1.252762968495368,1.6094379124341003,0.4700036292457357,1.7578579175523736
Austria,AUT,11.0,80.5,1.44,10.51159096,81.490243902439,5.076,98.0,88.70387,1.0999999999999996,4.3,2.0,1.7000000000000002,0.6275414234619514,0.1828262286849403,3.9569963710708773,2.186051276738094,10.673618922112436,2.0794415416798357,10.75579427616868,3.8877303128591016,1.252762968495368,1.5686159179138452,0.18232155679395468,1.667706820558076
Azerbaijan,AZE,5.88,69.1,1.92,3.58703041,71.93,3.401,78.0,94.6666,6.7,6.4,7.6,6.9,2.6946271807700692,0.09531017980432493,4.012772908528289,4.68213122712422,9.680406499268875,3.1780538303479458,8.67265729404031,3.077312260546414,1.252762968495368,3.4210000089583352,1.1112672706192024,3.6938669956249757
Bahamas,BHS,7.89,73.8,1.86,5.64133978,74.029,1.895,96.0,74.72864,4.0,4.1,2.8,3.7,-0.3314596947976687,0.9555114450274363,3.58351893845611,2.9444389791664403,10.038935856711177,4.3694478524670215,10.239995502805316,3.7999735016195233,1.5540726855711915,2.7212954278522306,1.1897851074108745,2.6946271807700692
Bahrain,BHR,4.97,76.0,2.16,4.2369051,80.214,0.974,99.0,94.30002,6.7,7.7,2.6,5.3,2.132982308607866,0.09531017980432493,4.255612709818223,3.091042453358316,10.623787731088578,2.833213344056216,9.937937287265354,3.949318790171843,1.5340582677621164,2.174751721484161,0.8874066145877937,2.2617630984737906
Bangladesh,BGD,3.52,70.4,2.33,2.27915168,70.016,0.478,97.0,90.53203,7.7,8.4,6.6,5.7,2.096790180014449,0.09531017980432493,2.833213344056216,5.402677381872279,7.80016307039296,5.384495062789089,6.63200177739563,3.126760535960395,2.8094026953624978,3.7256934272366524,3.0204248861443626,3.919991175077323
Barbados,BRB,7.97,76.7,1.78,6.09732294,75.926,2.541,94.0,92.54496,4.3,4.1,2.7,5.4,0.2783890255401884,0.7884573603642702,3.7013019741124933,1.029619417181158,9.635673464721814,3.6888794541139363,9.680406499268875,3.906004933102583,1.252762968495368,2.6461747973841225,0.9932517730102832,2.7212954278522306
Belarus,BLR,5.61,70.4,1.49,5.38792181,72.9707317073171,4.082,97.0,93.11386,6.6,6.8,4.1,7.8,2.7788192719904172,0.1851389543333708,3.9589065913269965,4.04305126783455,9.692828247710418,1.0986122886681096,8.704668113450987,4.182050142641207,1.252762968495368,1.667706820558076,0.0,1.8718021769015913
Belgium,BEL,10.7,80.0,1.86,10.62032604,81.2878048780488,3.16,99.0,97.64411,2.0,4.1,1.6,1.5,1.0577902941478545,0.18232155679395468,4.3489867805956814,2.322387720290225,10.623787731088578,1.791759469228055,10.70101727068921,4.3267781604434035,1.252762968495368,1.62924053973028,0.09531017980432455,1.704748092238425
Belize,BLZ,5.2,71.4,2.71,4.87071466,71.437,1.131,95.0,96.35903,5.8,4.1,4.1,6.9,0.76080582903376,0.8754687373538999,4.0809215418899605,3.4657359027997265,8.97221007835365,3.8066624897703196,8.375860015299594,4.069026754237811,2.0014800002101243,2.8507065015037334,1.4839567351853495,2.9856819377004897
Benin,BEN,4.1,61.8,5.36,2.6911196699999995,59.008,0.04499999999999993,74.0,96.36058,6.2,3.9,6.0,7.1,0.6339278208999741,0.6931471805599453,3.2108436531709366,4.204692619390966,7.507141079727608,6.406879986069314,6.63200177739563,3.6428355156125294,2.322387720290225,4.599152113662528,4.2017030805426,4.718498871295094
Bhutan,BTN,5.2,72.1,2.38,3.23226452,70.504,0.33299999999999996,99.0,88.17317,5.0,7.9,6.9,7.9,1.944480556245719,0.09531017980432493,3.7727609380946383,5.730099782973574,8.76732914779405,4.30406509320417,7.687538766201629,4.272490747605575,2.087631178579696,3.4719664525503626,2.096710615738195,3.7773481021015445
