economy,series,Country,Series,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ZWE,SH.DYN.MORT,Zimbabwe,"Mortality rate, under-5 (per 1,000 live births)",59.8,59.2,57.5,56.7,56.3,58.6,61.7,62.4,64.0,64.2
ZMB,SH.DYN.MORT,Zambia,"Mortality rate, under-5 (per 1,000 live births)",62.6,60.2,57.1,55.2,54.7,53.5,52.5,50.4,49.5,49.1
YEM,SH.DYN.MORT,"Yemen, Rep.","Mortality rate, under-5 (per 1,000 live births)",48.7,49.3,47.9,47.5,47.3,46.1,43.4,42.6,41.1,39.5
PSE,SH.DYN.MORT,West Bank and Gaza,"Mortality rate, under-5 (per 1,000 live births)",21.9,18.2,17.5,16.9,16.3,15.7,15.2,14.6,14.1,41.9
VIR,SH.DYN.MORT,Virgin Islands (U.S.),"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,
VNM,SH.DYN.MORT,Viet Nam,"Mortality rate, under-5 (per 1,000 live births)",22.0,21.6,21.3,20.9,20.5,20.0,19.5,18.9,18.4,17.8
VEN,SH.DYN.MORT,"Venezuela, RB","Mortality rate, under-5 (per 1,000 live births)",18.3,19.1,24.2,24.2,24.2,24.2,24.2,24.2,24.2,24.2
VUT,SH.DYN.MORT,Vanuatu,"Mortality rate, under-5 (per 1,000 live births)",18.8,18.6,18.4,18.3,18.2,18.1,18.1,18.0,17.8,17.5
UZB,SH.DYN.MORT,Uzbekistan,"Mortality rate, under-5 (per 1,000 live births)",21.3,19.7,18.4,17.3,16.4,15.7,15.1,14.6,14.1,13.7
URY,SH.DYN.MORT,Uruguay,"Mortality rate, under-5 (per 1,000 live births)",9.3,8.9,8.4,8.0,7.7,7.5,7.3,7.3,7.3,7.4
USA,SH.DYN.MORT,United States,"Mortality rate, under-5 (per 1,000 live births)",6.8,6.8,6.7,6.6,6.5,6.5,6.5,6.5,6.5,6.5
GBR,SH.DYN.MORT,United Kingdom,"Mortality rate, under-5 (per 1,000 live births)",4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.6
ARE,SH.DYN.MORT,United Arab Emirates,"Mortality rate, under-5 (per 1,000 live births)",7.9,7.6,7.3,7.0,6.7,6.3,5.9,5.6,5.3,5.0
UKR,SH.DYN.MORT,Ukraine,"Mortality rate, under-5 (per 1,000 live births)",9.8,9.5,9.1,8.9,8.7,8.5,8.4,8.2,8.5,8.0
UGA,SH.DYN.MORT,Uganda,"Mortality rate, under-5 (per 1,000 live births)",60.2,57.9,55.6,54.0,52.7,51.6,50.9,50.2,50.0,49.4
TUV,SH.DYN.MORT,Tuvalu,"Mortality rate, under-5 (per 1,000 live births)",26.9,26.0,25.2,24.3,23.5,22.7,21.9,21.2,20.5,19.8
TCA,SH.DYN.MORT,Turks and Caicos Islands,"Mortality rate, under-5 (per 1,000 live births)",6.4,6.2,6.0,5.8,5.6,5.5,5.3,5.1,5.0,4.8
TKM,SH.DYN.MORT,Turkmenistan,"Mortality rate, under-5 (per 1,000 live births)",42.9,43.2,43.5,43.8,43.8,43.5,42.9,42.1,41.1,40.2
TUR,SH.DYN.MORT,Turkiye,"Mortality rate, under-5 (per 1,000 live births)",14.0,13.3,12.7,12.2,11.7,11.3,10.9,10.6,10.2,13.8
TUN,SH.DYN.MORT,Tunisia,"Mortality rate, under-5 (per 1,000 live births)",18.3,18.2,18.1,17.9,17.5,16.9,16.0,15.0,13.9,12.9
TTO,SH.DYN.MORT,Trinidad and Tobago,"Mortality rate, under-5 (per 1,000 live births)",23.1,22.7,22.3,22.0,21.6,21.2,20.8,20.4,19.9,19.3
TON,SH.DYN.MORT,Tonga,"Mortality rate, under-5 (per 1,000 live births)",12.1,11.9,11.6,11.4,11.1,10.9,10.6,10.4,10.1,9.8
TGO,SH.DYN.MORT,Togo,"Mortality rate, under-5 (per 1,000 live births)",77.7,75.2,72.8,70.4,68.1,66.0,63.9,62.0,60.0,58.1
TLS,SH.DYN.MORT,Timor-Leste,"Mortality rate, under-5 (per 1,000 live births)",61.9,60.2,58.7,57.3,56.0,54.8,53.4,52.0,50.7,49.2
THA,SH.DYN.MORT,Thailand,"Mortality rate, under-5 (per 1,000 live births)",12.3,11.9,11.5,11.1,10.8,10.4,10.1,9.8,9.5,9.2
TZA,SH.DYN.MORT,Tanzania,"Mortality rate, under-5 (per 1,000 live births)",56.3,54.3,52.0,49.8,47.6,45.6,43.8,41.7,40.1,38.5
TJK,SH.DYN.MORT,Tajikistan,"Mortality rate, under-5 (per 1,000 live births)",33.0,32.2,31.5,31.0,30.7,30.4,30.1,29.8,29.4,28.8
SYR,SH.DYN.MORT,Syrian Arab Republic,"Mortality rate, under-5 (per 1,000 live births)",35.5,37.1,32.2,32.9,32.5,24.6,21.9,20.5,20.7,20.1
CHE,SH.DYN.MORT,Switzerland,"Mortality rate, under-5 (per 1,000 live births)",4.3,4.3,4.2,4.1,4.1,4.0,4.0,4.0,3.9,3.9
SWE,SH.DYN.MORT,Sweden,"Mortality rate, under-5 (per 1,000 live births)",2.9,2.9,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.4
SUR,SH.DYN.MORT,Suriname,"Mortality rate, under-5 (per 1,000 live births)",21.1,20.6,20.1,19.5,18.9,18.4,17.9,17.4,16.8,16.3
SDN,SH.DYN.MORT,Sudan,"Mortality rate, under-5 (per 1,000 live births)",65.4,63.5,61.6,59.7,57.8,56.1,54.3,52.7,51.0,63.1
VCT,SH.DYN.MORT,St. Vincent and the Grenadines,"Mortality rate, under-5 (per 1,000 live births)",18.2,17.4,16.6,15.8,15.0,14.3,13.6,12.9,12.3,11.8
MAF,SH.DYN.MORT,St. Martin (French part),"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,
LCA,SH.DYN.MORT,St. Lucia,"Mortality rate, under-5 (per 1,000 live births)",18.8,18.7,18.6,18.5,18.4,18.2,18.1,17.9,17.7,17.5
KNA,SH.DYN.MORT,St. Kitts and Nevis,"Mortality rate, under-5 (per 1,000 live births)",19.4,19.4,19.3,19.0,18.6,18.2,17.8,17.3,16.8,16.4
LKA,SH.DYN.MORT,Sri Lanka,"Mortality rate, under-5 (per 1,000 live births)",9.2,8.7,8.3,7.9,7.6,7.2,6.9,6.6,6.3,6.1
ESP,SH.DYN.MORT,Spain,"Mortality rate, under-5 (per 1,000 live births)",3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2
SSD,SH.DYN.MORT,South Sudan,"Mortality rate, under-5 (per 1,000 live births)",182.6,240.8,272.9,292.0,133.7,96.7,96.7,96.7,96.7,96.7
ZAF,SH.DYN.MORT,South Africa,"Mortality rate, under-5 (per 1,000 live births)",39.7,38.2,36.8,35.7,34.9,34.3,33.9,34.0,34.3,34.8
SOM,SH.DYN.MORT,"Somalia, Fed. Rep.","Mortality rate, under-5 (per 1,000 live births)",138.6,134.3,130.2,156.4,136.4,118.4,114.7,111.0,143.1,104.3
SLB,SH.DYN.MORT,Solomon Islands,"Mortality rate, under-5 (per 1,000 live births)",25.4,25.0,24.6,24.1,23.6,23.1,22.5,21.9,21.3,20.6
SVN,SH.DYN.MORT,Slovenia,"Mortality rate, under-5 (per 1,000 live births)",2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.3,2.3,2.3
SVK,SH.DYN.MORT,Slovak Republic,"Mortality rate, under-5 (per 1,000 live births)",6.3,6.2,6.1,6.0,5.9,5.9,5.9,6.0,6.1,6.2
SXM,SH.DYN.MORT,Sint Maarten (Dutch part),"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,
SGP,SH.DYN.MORT,Singapore,"Mortality rate, under-5 (per 1,000 live births)",2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.4,2.5,2.6
SLE,SH.DYN.MORT,Sierra Leone,"Mortality rate, under-5 (per 1,000 live births)",135.9,136.8,121.8,117.0,112.4,108.3,104.4,100.6,97.1,93.8
SYC,SH.DYN.MORT,Seychelles,"Mortality rate, under-5 (per 1,000 live births)",14.5,14.6,14.7,14.7,14.8,14.8,14.8,14.7,14.5,14.3
SRB,SH.DYN.MORT,Serbia,"Mortality rate, under-5 (per 1,000 live births)",6.6,6.3,6.1,5.9,5.8,5.6,5.5,5.4,5.4,5.4
SEN,SH.DYN.MORT,Senegal,"Mortality rate, under-5 (per 1,000 live births)",53.7,52.2,50.8,49.4,47.9,46.2,44.2,42.2,40.1,38.2
SAU,SH.DYN.MORT,Saudi Arabia,"Mortality rate, under-5 (per 1,000 live births)",9.6,9.0,8.5,8.0,7.6,7.2,6.9,6.7,6.4,6.2
STP,SH.DYN.MORT,Sao Tome and Principe,"Mortality rate, under-5 (per 1,000 live births)",25.5,23.3,21.3,19.6,18.2,17.1,16.1,15.3,14.7,14.1
SMR,SH.DYN.MORT,San Marino,"Mortality rate, under-5 (per 1,000 live births)",2.0,1.9,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3
WSM,SH.DYN.MORT,Samoa,"Mortality rate, under-5 (per 1,000 live births)",18.5,18.3,18.1,17.8,17.5,20.0,16.7,16.2,15.8,15.3
RWA,SH.DYN.MORT,Rwanda,"Mortality rate, under-5 (per 1,000 live births)",49.2,47.3,45.8,44.7,43.7,42.7,41.6,40.6,39.7,38.8
RUS,SH.DYN.MORT,Russian Federation,"Mortality rate, under-5 (per 1,000 live births)",8.9,8.2,7.5,6.9,6.4,6.0,5.7,5.5,5.4,5.3
ROU,SH.DYN.MORT,Romania,"Mortality rate, under-5 (per 1,000 live births)",9.9,9.2,8.5,7.9,7.3,6.8,6.5,6.4,6.6,6.9
QAT,SH.DYN.MORT,Qatar,"Mortality rate, under-5 (per 1,000 live births)",8.1,7.8,7.5,7.1,6.8,6.6,6.3,6.2,6.1,6.0
PRI,SH.DYN.MORT,Puerto Rico (US),"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,
PRT,SH.DYN.MORT,Portugal,"Mortality rate, under-5 (per 1,000 live births)",3.6,3.6,3.6,3.6,3.5,3.5,3.4,3.3,3.3,3.2
POL,SH.DYN.MORT,Poland,"Mortality rate, under-5 (per 1,000 live births)",5.0,4.9,4.8,4.6,4.5,4.5,4.4,4.4,4.3,4.3
PHL,SH.DYN.MORT,Philippines,"Mortality rate, under-5 (per 1,000 live births)",28.0,27.9,27.8,27.8,27.9,28.0,28.0,27.9,27.5,27.0
PER,SH.DYN.MORT,Peru,"Mortality rate, under-5 (per 1,000 live births)",17.2,16.6,16.1,15.7,15.3,14.9,14.5,14.1,13.7,13.3
PRY,SH.DYN.MORT,Paraguay,"Mortality rate, under-5 (per 1,000 live births)",22.7,21.9,21.2,20.5,19.9,19.2,18.6,18.0,17.5,16.9
PNG,SH.DYN.MORT,Papua New Guinea,"Mortality rate, under-5 (per 1,000 live births)",53.3,57.3,50.4,48.9,47.5,46.1,44.7,43.2,41.9,40.6
PAN,SH.DYN.MORT,Panama,"Mortality rate, under-5 (per 1,000 live births)",17.3,17.1,17.0,16.7,16.3,15.9,15.5,15.2,15.1,15.1
PLW,SH.DYN.MORT,Palau,"Mortality rate, under-5 (per 1,000 live births)",20.6,21.3,21.9,22.5,22.9,23.0,22.9,22.7,22.4,21.9
PAK,SH.DYN.MORT,Pakistan,"Mortality rate, under-5 (per 1,000 live births)",77.2,74.8,72.4,70.1,67.9,65.8,63.7,61.7,59.7,57.8
OMN,SH.DYN.MORT,Oman,"Mortality rate, under-5 (per 1,000 live births)",11.2,11.1,11.0,11.0,10.9,10.8,10.7,10.6,10.5,10.4
NOR,SH.DYN.MORT,Norway,"Mortality rate, under-5 (per 1,000 live births)",2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4
MNP,SH.DYN.MORT,Northern Mariana Islands,"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,
MKD,SH.DYN.MORT,North Macedonia,"Mortality rate, under-5 (per 1,000 live births)",11.1,11.1,10.6,9.6,8.4,7.1,6.0,5.1,4.2,3.4
NGA,SH.DYN.MORT,Nigeria,"Mortality rate, under-5 (per 1,000 live births)",118.7,117.8,117.4,117.2,117.2,117.4,117.4,117.6,117.5,116.8
NER,SH.DYN.MORT,Niger,"Mortality rate, under-5 (per 1,000 live births)",126.8,125.4,124.3,123.1,121.9,120.8,119.5,118.0,116.0,113.5
NIC,SH.DYN.MORT,Nicaragua,"Mortality rate, under-5 (per 1,000 live births)",18.3,17.2,16.1,15.3,14.6,14.3,14.2,14.2,14.3,13.8
NZL,SH.DYN.MORT,New Zealand,"Mortality rate, under-5 (per 1,000 live births)",5.8,5.6,5.5,5.4,5.3,5.2,5.1,5.0,5.0,4.9
