country_code,year,life_expectancy_who
TZA,2018,64.7929578
DEU,2014,80.7599266
ZAF,2015,60.0064828
PRT,2019,84.14959418
THA,2014,73.42810335
TLS,2018,69.95138121
PSE,2017,77.16864147
CMR,2016,61.60384814
AGO,2020,64.93312434
HUN,2020,79.026276
LTU,2015,79.52707199
RUS,2021,74.33863065
GIN,2017,60.25359445
CMR,2021,59.8869642
CRI,2016,77.56917021
SLB,2016,65.29462393
EST,2020,78.62190265
LSO,2016,49.94866988
VNM,2020,70.40857717
SWZ,2014,54.15615625
COG,2016,62.23005532
CZE,2017,75.97839125
BHR,2019,76.02945447
SWE,2021,82.6649092
AUS,2016,80.68949067
PHL,2016,73.30823759
MWI,2019,60.42691492
GIN,2016,58.46953572
TCD,2019,59.37353739
AFR,2018,61.8623864
HTI,2019,64.1641267
CZE,2021,74.0130921
ATG,2016,73.80225498
JOR,2021,74.56877782
DEU,2019,80.97360663
HUN,2021,70.94422835
GIN,2018,59.39370268
ZAF,2020,61.88282781
CHN,2015,76.5103545
NOR,2017,82.33383151
COG,2014,61.74484051
PRT,2018,83.91042383
MEX,2014,78.48297119
DOM,2014,73.26353439
SOM,2014,50.80564441
WSM,2020,70.19462777
BOL,2018,72.69070111
PRT,2014,80.89996435
ESP,2018,85.32106648
CIV,2017,59.96740946
PER,2017,80.84317963
CHE,2017,81.24246652
UKR,2021,66.33379842
PRI,2018,76.96291947
UKR,2019,67.98640316
AFR,2016,62.92447284
AFR,2020,63.96143556
OMN,2016,71.59688944
SYC,2021,72.56876431
QAT,2021,76.03086974
TON,2021,75.28993133
PRY,2018,75.22367023
AGO,2014,63.67359997
BGR,2016,71.27508544
CMR,2020,64.39062885
TKM,2017,65.62724888
SVK,2018,77.19646571
ESP,2019,85.66031336
LKA,2018,77.17579214
BDI,2021,65.94968708
KIR,2021,57.77699365
AGO,2020,60.40846427
SRB,2021,69.98961039
GEO,2019,69.09659935
CHE,2020,84.59757835
ISR,2021,82.38661981
LBY,2014,75.11566809
BLZ,2019,77.37712841
IDN,2019,71.40110181
NLD,2017,83.00502443
AGO,2020,62.64827403
TKM,2021,72.49741609
MDA,2015,67.16738065
BFA,2015,63.34433548
MYS,2015,72.49235
KHM,2018,71.97764534
CHN,2017,80.09300089
GRD,2020,72.85416597
ZMB,2017,63.42176445
BLR,2017,74.22729868
GLOBAL,2015,74.82386869
AUT,2016,79.08959175
UKR,2017,73.00099017
COM,2016,67.70212624
JOR,2015,78.50941007
CAF,2015,50.96983096
ISR,2020,82.36508912
TGO,2021,66.41721819
PAN,2015,78.14484121
UZB,2021,72.18877681
MDG,2020,64.28769762
VNM,2018,73.56096825
JAM,2017,69.42373307
MKD,2021,72.99535604
KGZ,2016,69.12318036
MAR,2017,74.41070874
AFG,2017,60.8752198
MKD,2015,73.42688551
PNG,2020,66.27049986
MUS,2018,74.02503816
GEO,2017,78.01528305
LTU,2017,80.12784417
NAM,2019,63.49265302
VEN,2018,72.81771282
MDA,2020,68.25799976
AZE,2021,72.9129401
VUT,2015,63.80625882
ROU,2016,75.08359177
PAN,2017,75.60326799
BHS,2014,69.54707012
KEN,2019,64.06662086
SDN,2019,70.54966599
ECU,2016,79.56290344
COG,2020,62.69563802
KOR,2016,85.6614299
MNE,2015,76.86028429
SSD,2020,58.94518456
BRN,2016,77.7233171
SYR,2021,72.43803165
SYC,2015,76.67292681
PRY,2015,75.16683709
BGR,2020,73.48961137
AFG,2018,60.48797975
SLB,2021,62.55214723
SUR,2018,76.11183948
ISR,2016,80.44277466
ITA,2021,82.19747411
MLI,2019,62.40969963
COL,2014,80.00462737
MNE,2015,74.16490775
TTO,2016,70.7416791
LBN,2020,80.39052819
LBY,2017,75.36329755
WSM,2021,71.58085255
SRB,2017,73.05284265
ATG,2020,79.43200511
TTO,2018,77.45199552
COM,2019,69.43352682
NAM,2020,63.75209779
USA,2020,74.38189335
MYS,2016,74.41949575
GMB,2021,64.21396887
JAM,2014,71.40686513
