country,life_expec,child_mort_log,total_fer,gdpp_log,health,inflation_log,exports_log,imports_log,cluster
Afghanistan,56.2,4.513054897080286,5.82,6.317164686747284,7.58,2.3456445824544927,2.3978952727983707,3.8264651170664994,2
Albania,76.3,2.8678989020441064,1.65,8.316544717929398,6.55,1.7029282555214391,3.367295829986474,3.903990833730882,1
Algeria,76.5,3.342861804649192,2.89,8.403128235128264,4.17,2.8390784635086144,3.673765816303888,3.478158422798284,1
Angola,60.1,4.787491742782046,6.16,8.169336395928386,2.85,3.152736022363656,4.147885329150131,3.7819143200811256,2
Antigua and Barbuda,76.8,2.424802725718295,2.13,9.409273194575334,6.03,0.8919980393051105,3.8394523125933104,4.092676505121403,0
Argentina,75.8,2.740840023925201,2.37,9.239996256883693,8.1,3.086486636822455,2.990719731730447,2.833213344056216,1
Armenia,73.3,2.9496883350525844,1.69,8.0774471493312,4.4,2.171336806384092,3.0819099697950434,3.835141961092188,1
Australia,82.0,1.7578579175523736,1.93,10.857093336791094,8.73,0.7701082216960736,3.0349529867072724,3.086486636822455,0
Austria,80.5,1.667706820558076,1.44,10.75579427616868,11.0,0.6275414234619514,3.956996371070877,3.8877303128591016,0
Azerbaijan,69.1,3.693866995624976,1.92,8.67265729404031,5.88,2.694627180770069,4.012772908528289,3.077312260546414,1
Bahamas,73.8,2.694627180770069,1.86,10.239995502805316,7.89,-0.3314596947976687,3.58351893845611,3.7999735016195233,0
Bahrain,76.0,2.26176309847379,2.16,9.937937287265354,4.97,2.132982308607866,4.255612709818223,3.949318790171843,1
Bangladesh,70.4,3.919991175077323,2.33,6.63200177739563,3.52,2.096790180014449,2.833213344056216,3.126760535960395,1
Barbados,76.7,2.7212954278522306,1.78,9.680406499268877,7.97,0.2783890255401883,3.701301974112493,3.906004933102583,0
Belarus,70.4,1.8718021769015916,1.49,8.704668113450987,5.61,2.778819271990417,3.958906591326997,4.182050142641207,1
Belgium,80.0,1.7047480922384253,1.86,10.70101727068921,10.7,1.0577902941478543,4.3489867805956814,4.326778160443404,0
Belize,71.4,2.9856819377004897,2.71,8.375860015299594,5.2,0.76080582903376,4.0809215418899605,4.069026754237811,1
Benin,61.8,4.718498871295094,5.36,6.63200177739563,4.1,0.6339278208999741,3.210843653170937,3.6428355156125294,2
Bhutan,72.1,3.777348102101545,2.38,7.687538766201629,5.2,1.944480556245719,3.7727609380946383,4.272490747605575,1
Bolivia,71.6,3.8628327612373754,3.2,7.591357046698551,4.84,2.280339484046726,3.742420221041966,3.563882963939251,1
