country,iso_code,physicians_per_1000,hiv_prevalence_log,life_expec,child_mort_log,vaccination_dpt_log,gdpp_log,inflation_log,social_undernourishment_log,social_poverty_2_15_log,social_schooling_log,security_apparatus,group_grievance,refugees_idps,external_intervention,cluster
Afghanistan,AFG,0.3040000000000002,0.0953101798043249,56.2,4.513054897080286,4.143134726391533,6.317164686747284,2.3456445824544927,3.0106208860477417,3.9555244838460646,4.340157236850297,10.0,8.9,9.1,9.8,2
Albania,ALB,1.212,0.0953101798043249,76.3,2.867898902044106,4.605170185988092,8.316544717929398,1.7029282555214391,1.7227665977411035,1.5475625087160128,4.551597348045792,4.7,5.0,3.1,6.1,0
Algeria,DZA,1.819,0.0953101798043249,76.5,3.342861804649192,4.564348191467836,8.403128235128264,2.8390784635086144,1.308332819650179,0.0,4.590547595107454,8.0,8.2,6.4,5.4,0
Angola,AGO,0.2119999999999999,1.029619417181158,60.1,4.787491742782046,4.02535169073515,8.169336395928386,3.152736022363656,2.653241964607215,3.786634195987733,4.3697507179910335,6.0,7.3,7.6,5.6,2
Antigua and Barbuda,ATG,2.917,0.6418538861723948,76.8,2.424802725718295,4.605170185988092,9.409273194575334,0.8919980393051107,1.540994340603916,1.3430656265690706,4.531405985507347,5.2,3.9,3.0,5.8,3
Argentina,ARG,4.925,0.336472236621213,75.8,2.740840023925201,4.553876891600541,9.239996256883693,3.086486636822455,1.3609765531356008,0.7419373447293771,4.609606431284687,3.6,5.0,2.0,4.0,3
Armenia,ARM,2.883,0.1823215567939546,73.3,2.9496883350525844,4.543294782270004,8.077447149331197,2.171336806384092,1.252762968495368,1.481604540924216,4.551424729612606,5.3,5.4,7.0,6.8,0
Australia,AUS,3.432,0.0953101798043249,82.0,1.7578579175523732,4.532599493153256,10.857093336791094,0.7701082216960741,1.252762968495368,0.4700036292457364,4.585376476652146,2.1000000000000005,4.4,2.1,1.0,3
Austria,AUT,5.076,0.1950605825713844,80.5,1.6677068205580756,4.59511985013459,10.75579427616868,0.6275414234619516,1.252762968495368,0.182321556793954,4.496513911946792,1.0999999999999996,4.3,2.0,1.7000000000000002,3
Azerbaijan,AZE,3.401,0.0953101798043249,69.1,3.693866995624976,4.3694478524670215,8.67265729404031,2.694627180770069,1.252762968495368,1.436914351966399,4.560869230227157,6.7,6.4,7.6,6.9,0
